a,m,q,k,p
1.0319030468819004,1.1326294907544616,1.1999259861380782,-0.0014589004450344962,0.2901238022320901
1.7612215697804225,0.08565628527245107,1.969990198522627,0.0011612546662700231,0.3517635009217066
-0.3339470719280624,1.20254604386128,2.7520540421849295,-1.4999999130915547,0.2850278377225443
1.2761726170332066,-0.7403626507288588,4.999991691447677,1.4999999999999998,0.03758599739299085
2.999999441612365,-0.496761550507028,1.0607166884337318,-1.1161430370769254,0.4611076574268109
-0.11960837749435384,-1.2351287259264188,4.351995828348525,1.4999998438191378,0.058102348890781065
-2.999999999934992,-0.8451064275633943,1.2757157705200137,-0.8253231144822955,0.10492627963588076
0.5675088098724438,-0.28037144273290177,1.0902994685507823,1.4999999805994106,0.4950214928490049
1.5076682443660057,2.1278032179060085,4.999999999999999,1.4999999999999998,0.026140375918805907
-0.9779454518797888,-0.9685964358954798,1.4656479649018788,-0.00042224192540366175,0.2460560805903365
1.2801324258246423,-0.9728188775639002,-0.30391515442380745,-0.00222425850256841,0.3906415084915838
2.104808599301213,-2.37612176959015,1.1704415242816546,1.499999999994292,0.36079998045599265
0.30247658332027033,-1.9737787781221965,-0.6444520069282547,1.4999999111569,1.4999999999999998
2.0257144035006363,-1.0719240569888595,0.638595949774714,1.4882895678626753,0.3865439521892902
0.3130113991140752,-0.5762189020237097,-0.4209016483429853,-1.4999999248403324,1.4999999999999998
2.9999999999999996,0.2999370241874389,4.999999999999999,1.4999999999999998,0.0228265278845052
1.5309924408195497,-0.23872303892792185,0.765200092371742,1.499999971923796,0.5195760315592485
-1.1444260100431574,0.31579220028639726,-0.053580019516465995,-1.4999999999999853,0.010000000000000002
-1.525500717071681,-1.1774329529506062,-1.571884079746838,1.4999999999990452,0.010000000000000002
2.9999999999999996,-4.999999999999991,1.433177169609855,0.15068399745362449,0.2509372924444329
1.5826369433262848,-0.9774091829270872,0.47640064652505676,-0.0001509821321132418,0.3342627565027135
2.686721350795273,-2.9471424491459417,0.3124198113930506,0.005766460429961424,0.28327934283460476
1.1708553028059474,-0.6977404416903173,0.11625297178697956,1.4999996671223195,0.5848575239773793
0.722173954960245,-1.230776637514783,1.3592464105127946,1.4999997130348819,0.32599743443193707
1.7793167314407043,0.019782795719072536,3.1489995035384926,0.0038902075923724915,0.1414876725315759
1.0066678242732554,-0.6092728219045622,1.6404387795672093,0.0005093638179527824,0.31444919507046476
1.7407909411102491,0.10864871092647772,2.3900077052434816,0.0006237151373594322,0.20185331279113622
1.5261680915078575,-0.16994033347498835,1.4216197224270464,0.00043653024164868616,0.27634833136318815
1.3373095562773278,-0.7126562696924146,1.3715892078955205,0.0003943326494689891,0.2763043042300671
0.8708051977370237,3.339095521288728,3.5498682689546257,1.4999999999999996,0.08677583137843209
1.92298922910932,-1.9962686000388141,0.5399017848271369,1.4999999991940165,0.2874856957317758
1.9067138938866892,-2.0793977931594596,0.4985969133828256,1.4999999998746003,0.31300552040924184
