formula
 Mn34.6W1.8Si63.6
 Pb5Bi6Se14
Ag0.005CdO
Ag0.02TiS2
Ag0.02Zn4Sb3
Ag0.05Sn0.95Se
Ag0.1NaCo2O4
Ag0.1TiS2
Ag0.2Na1.2Co2O4
Ag0.2NaCo2O4
Ag0.366Sb0.558Te
Ag0.4Pb22.5SbTe20
Ag0.6Cu0.4TlTe
Ag0.6Pb22.5SbTe20
Ag0.7Cu0.3TlTe
Ag0.8Pb18SbTe20
Ag0.96Nb0.04BiSe2
Ag1.1Pb16Sb0.8Te23
Ag2.0006Se
Ag25Sb25Se10Te40
Ag25Sb25Se15Te35
Ag25Sb25Se5Te45
Ag2Te
Ag2Tl2Mo9Se11
Ag3.4Mo9Se11
Ag3.6Cu0.2Mo9Se11
Ag3.6Cu0.4Mo9Se11
Ag3.8Mo9Se11
Ag3.9Mo9Se11
Ag3In2Mo15Se19
Ag6.52Sb6.52Ge34.96Te50Dy2
Ag6.52Sb6.52Ge36.96Te49Dy1
Ag6.52Sb6.52Ge36.96Te50
Ag8SnSe6
Ag9.04Tl0.87Te5.09
Ag9TlTe5.1
Ag9TlTe5.2
Ag9TlTe5.3
AgPb12SbTe14
AgPb18Sb2Te20
AgPb18SbTe20
AgPb20SbTe20
AgPb22.5SbTe20
AgPb26SbTe28
AgSb0.98Sn0.02Se2
AgSb0.995Sn0.005Se2
AgSb0.99Sn0.01Se2
AgSbSe2
AgSbTe2
AgSn0.975Sn0.025Se2
AgSn15Pb3SbTe20
AgSn18SbTe20
AgSn9Pb9SbTe20
Al0.005Mg2Si
Al0.01Mg2Si
Al0.02Mg2Si
Al0.04Mg2Si
Au0.1Na1.2Co2O4
Ba0.13Yb0.47Co1.9Fe1.9Sb12
Ba0.13Yb0.56Co1.8Fe2.0Sb12
Ba0.1Co4Sb11.3Te0.7
Ba0.27Yb0.25Co2.6Fe1.0Sb12
Ba0.32Co4Sb11.7Te0.3
Ba0.33Yb0.37Co2.7Fe1.6Sb12
Ba0.4Co4Sb11.7Te0.3
Ba0.74Fe3CoSb12
Ba0.87Fe4Sb12
Ba15.09Ga28.13Ge56.78
Ba24Ga12Ge88
Ba24Ga15Ge85
Ba24Ga4Ge96
Ba7.96Ga15.90Cu0.000Sn30.10
Ba7.96Ga15.9In0Sn30.1
Ba7.99Ga15.80Cu0.033Sn30.17
Ba8.01Ga15.83Zn0.019Sn30.15
Ba8.01Ga15.8In0.1Sn30.1
Ba8Au5.59Si40.41
Ba8Cu4.8Si41.2
Ba8Cu4.8Si42
Ba8Cu5.7Ge40.3
Ba8Cu5.93Ge40.07
Ba8Cu7Si16Ge23
Ba8Ga10Al6Sn30
Ba8Ga15.88Zn0.007Sn30.12
Ba8Ga16Al0Sn30
Ba8Ga16Ge30
Ba8In16Ge30
Ba8Ni1.00Zn5.30Ge38.96Sn0.72
Ba8Ni1.23Zn5.01Ge38.73Sn1.03
Ba8Ni1.25Zn4.95Ge38.93Sn0.87
Ba8Ni1.26Zn4.85Ge38.88Sn1.01
Ba8Ni1.44Zn4.67Ge39.09Sn0.80
Ba8Ni1.62Zn4.21Ge39.05Sn1.12
Ba8Ni1.88Zn3.75Ge39.45Sn0.92
Ba8Ni2.13Zn3.33Ge39.82Sn0.72
Ba8Ni3.4Si9.0Ge33.6
Ba8Zn7.57Ge37.84Sn0.59
Ba8Zn7.66Ge36.55Sn1.79
Ba8Zn7.68Ge38.32
Ba8Zn7.74Ge36.74Sn1.52
Ba8Zn7.80Ge36.16Sn2.04
BaBiTe2.9Se0.1
BaBiTe3
BaGa1.95Zn0.05Sb2
BaGa1.975Zn0.025Sb2
BaGa1.9Zn0.1Sb2
Bi0.00088Pb0.99912Te0.88S0.12
Bi0.002Pb0.5Sn0.5Te
Bi0.0044Pb0.9956Te0.88S0.12
Bi0.008GeTe
Bi0.009Ge0.991Te
Bi0.014Pb0.5Sn0.5Te
Bi0.016Pb0.5Sn0.5Te
Bi0.01Ge1.03Te
Bi0.04Ge0.96Te
Bi0.07Ge0.97Te
Bi0.25Sb1.75Te3
Bi0.2Sb1.8Te3
Bi0.3Sb1.7Te3
Bi0.48Sb1.52Te3
Bi0.4Sb1.608Te3.008
Bi0.4Sb1.6Te3
Bi0.4Sb1.6Te3C0.2
Bi0.4Sb1.6Te3C0.5
Bi0.5Na0.02 Sb1.42In0.06Te3
Bi0.5Na0.02Sb1.42In0.06Te3
Bi0.5Na0.02Sb1.46In0.02Te3
Bi0.5Na0.02Sb1.48Te3
Bi0.5Sb1.5Te0.9Se0.3
Bi0.5Sb1.5Te1.5Se0.5
Bi0.5Sb1.5Te3
Bi0.5Sb1.5Te3C0.06
Bi0.5Sb1.5Te3C0.2
Bi0.6Sb1.4Te3
Bi0.80Pb0.20OCuSe
Bi0.825Pb0.175OCuSe
Bi0.82Sb0.18
Bi0.90Na0.10CuSeO
Bi0.90Pb0.10OCuSe
